Title,URL,drunkscale,RunTime,Author
The Hills Have Eyes 2,films/hillshaveeyes2.html,5,1h 37m,Bill/Joe
The Hobbit: An Unexpected Journey,films/hobbit.html,6,2h 49m,Bill/Joe
Home Alone,films/homealone.html,6,1h 43m,Alcolawl
Home Alone 2,films/homealone2.html,5.5,2h 01m,Alcolawl
Hostel,films/hostel.html,5.5,1h 35m,Joe
Hot Fuzz,films/hotfuzz.html,6,2h 01m,Alcolawl
House of Wax,films/houseofwax.html,4.5,1h 53m,Bill/Joe
The Hunger Games,films/hungergames.html,5.5,2h 22m,Bill
The Hunt for Red October,films/huntforredoctober.html,6,2h 15m,Alcolawl
I Am Legend,films/iamlegend.html,5.5,1h 41m,Bill
Idiocracy,films/idiocracy.html,6,1h 22m,Alcolawl
Independence Day,films/independenceday.html,6,2h 33m,Alcolawl
Inglourious Basterds,films/inglouriousbasterds.html,6.5,2h 43m,Alcolawl
The Internship,films/internship.html,5,1h 59m,Alcolawl/Danny Lash
In the Line of Fire,films/inthelineoffire.html,5.5,2h 8m,Alcolawl
"I, Robot",films/irobot.html,5.5,1h 55m,Bill
Iron Man 3,films/ironman3.html,5,2h 15m,Alcolawl
The Italian Job (2003),films/italianjob.html,6,1h 59m,Alcolawl
Jack Reacher,films/jackreacher.html,5,2h 10m,Duff
Jarhead,films/jarhead.html,6.5,2h 05m,Alcolawl
Joe Dirt,films/joedirt.html,6,1h 38m,Alcolawl
John Wick,films/johnwick.html,7,1h 41m,Alcolawl
Jurassic Park,films/jurassicpark.html,5,2h 07m,Bill
Kick-Ass 2,films/kickass2.html,5.5,1h 57m,Duff
Kindergarten Cop,films/kindergartencop.html,6,2h 03m,Duff
King Kong,films/kingkong.html,6,3h 21m,Joe
The Last Samurai,films/lastsamurai.html,7,2h 40m,Joe
Lilo and Stitch,films/lilostitch.html,4.5,1h 25m,Joe
Malibu's Most Wanted,films/malibusmostwanted.html,5.5,1h 26m,Alcolawl
Man on Fire,films/manonfire.html,6.5,2h 27m,Alcolawl
Mission: Impossible - Ghost Protocol,films/missionimpossibleghostprotocol.html,5.5,2h 13m,Alcolawl
The Mist,films/mist.html,5,2h 07m,Bill
Moneyball,films/moneyball.html,5.5,2h 13m,Alcolawl
Monty Python and the Holy Grail,films/montypythonholygrail.html,6,1h 31m,Joe
Mulan,films/mulan.html,5,1h 28m,Alcolawl
The Mummy,films/mummy.html,6.5,2h 10m,Alcolawl
National Treasure,films/nationaltreasure.html,6,2h 11m,Alcolawl
Not Another Teen Movie,films/notanotherteenmovie.html,6,1h 39m,Alcolawl
Notorious,films/notorious.html,5,1h 42m,Bill
Oblivion,films/oblivion.html,7,2h 04m,Alcolawl
Ocean's Eleven,films/oceanseleven.html,4.5,1h 57m,Alcolawl
Oculus,films/oculus.html,5.5,1h 45m,Joe
The Omen,films/omen.html,4.5,1h 51m,Joe
The Orphan,films/orphan.html,5,2h 03m,Bill
Out of The Furnace,films/outofthefurnace.html,5.5,1h 56m,Alcolawl
Pain and Gain,films/paingain.html,7,2h 09m,Joe
Pale Rider,films/palerider.html,5.5,1h 56m,Alcolawl
Parker,films/parker.html,4.5,1h 58m,Joe
The Patriot,films/patriot.html,5.5,2h 45m,Alcolawl
Pearl Harbor,films/pearlharbor.html,6.5,3h 03m,Alcolawl
Pineapple Express,films/pineapplepoopass.html,6,1h 42m,Joe
Pocahontas,films/pocahontas.html,5.5,1h 31m,Joe
The Possession,films/possession.html,5.5,1h 32m,Joe
Public Enemies,films/publicenemies.html,5.5,2h 23m,Joe
Pulp Fiction,films/pulpfiction.html,7,2h 48m,Joe
Quantum of Solace,films/quantumofsolace.html,4,1h 46m,Alcolawl
Reign of Fire,films/reignoffire.html,6,1h 41m,Joe
The Ring,films/ring.html,6,2h 25m,Team D2M
Roadhouse,films/roadhouse.html,5,1h 54m,Joe
The Rock,films/therock.html,6,2h 16m,Alcolawl
Role Models,films/rolemodels.html,5,1h 42m,Joe
The Rundown,films/rundown.html,6,1h 45m,Alcolawl
Rush,films/rush.html,5.5,2h 03m,Alcolawl
Salt,films/salt.html,5.5,1h 34m,Alcolawl
Saving Private Ryan,films/savingprivateryan.html,5.5,2h 50m,Alcolawl
School of Rock,films/schoolofrock.html,4.5,1h 49m,Alcolawl
See No Evil (2006),films/seenoevil.html,5,1h 24m,Joe
Sharknado,films/sharknado.html,5,1h 26m,Joe
Shark Tale,films/sharktale.html,5.5,1h 31m,Bill/Joe
Shaun Of The Dead,films/shaunofdead.html,6,1h 39m,Team D2M
Shawshank Redemption,films/shawshankredemption.html,8,2h 22m,Team D2M
Sherlock Holmes: A Game of Shadows,films/sherlockholmes2.html,6,2h 09m,Alcolawl
